metric,dataset,tuning,model,ACC_DIFF,FAIR_DIFF,DELTA_DIFF
demographic_parity,communities,True,LTDD_PrejudiceRemover_tuned,-9.6828,-3.0513,-5.8838
demographic_parity,communities,True,LTDD_SquaredDifferenceFairLogistic_tuned,-23.2053,8.2352,-5.1478
demographic_parity,communities,True,LTDD_FairnessConstraintModel_tuned,-17.6962,5.5574,-4.8988
demographic_parity,communities,True,LTDD_DisparateMistreatmentModel_tuned,-21.7028,8.2352,-5.1478
demographic_parity,communities,True,LTDD_ConvexFrameworkModel_tuned,-20.0334,8.2352,-5.1478
demographic_parity,communities,True,LTDD_HSICLinearRegression_tuned,-18.5309,0.9699,-5.1478
demographic_parity,communities,True,LTDD_GerryFairClassifier_tuned,-13.6895,-2.0981,-7.8938
demographic_parity,communities,True,LTDD_AdversarialDebiasing_tuned,-11.5192,-7.0758,-6.4594
demographic_parity,communities,True,LTDD_ExponentiatedGradientReduction_tuned,-6.8447,-16.4047,-8.9536
demographic_parity,communities,True,LTDD_GridSearchReduction_tuned,0.0,-13.3969,-6.6984
demographic_parity,communities,True,LTDD_MetaFairClassifier_tuned,-19.1987,8.2352,-5.1478
demographic_parity,communities,True,LTDD_AdaFair_tuned,-18.5309,0.0,-5.1478
demographic_parity,communities,True,LTDD_FAGTB_tuned,-18.5309,8.2352,-5.1478
demographic_parity,communities,True,LTDD_HGR_tuned,-13.8564,7.932,-2.7118
demographic_parity,communities,True,LTDD_FairDummies_tuned,-10.0167,0.2664,-3.9569
demographic_parity,communities,True,LTDD_GeneralFairERM_tuned,-18.5309,2.1773,-5.1478
demographic_parity,communities,True,LTDD_MultiAdversarialDebiasing_tuned,0.5008,-17.9766,-5.9419
demographic_parity,communities,True,LTDD_FairGeneralizedLinearModel_tuned,-18.5309,0.0,-5.1478
demographic_parity,communities,True,LTDD_GradualCompatibility_tuned,-8.5142,-9.9755,-5.1272
demographic_parity,communities,True,LTDD_RejectOptionClassification_tuned,-27.5459,-16.7224,-21.5283
demographic_parity,communities,True,LTDD_EqOddsPostprocessing_tuned,-11.5192,-17.6823,-14.6007
demographic_parity,communities,True,LTDD_CalibratedEqOddsPostprocessing_tuned,-2.5042,-69.087,-34.627
demographic_parity,communities,True,LTDD_JiangNachum_tuned,-11.3523,-8.7068,-6.5237
demographic_parity,communities,True,LTDD_DPAbstention_tuned,-17.0284,-2.8997,-8.545
demographic_parity,communities,True,LTDD_FaX_tuned,-9.3489,-11.0736,-7.1228
demographic_parity,communities,True,LTDD_FairBayesDPP_tuned,-0.3339,-32.0725,-14.8676
demographic_parity,communities,True,LFR_PrejudiceRemover_tuned,-15.6928,4.9844,-4.2121
demographic_parity,communities,True,LFR_FairnessConstraintModel_tuned,2.1703,-16.6433,-6.7816
demographic_parity,communities,True,LFR_ConvexFrameworkModel_tuned,-19.0317,3.6232,-1.5727
demographic_parity,communities,True,LFR_HSICLinearRegression_tuned,-7.5125,-1.0279,-4.2702
demographic_parity,communities,True,LFR_GerryFairClassifier_tuned,-14.5242,2.9855,-0.761
demographic_parity,communities,True,LFR_AdversarialDebiasing_tuned,-24.207,4.9844,-0.4293
demographic_parity,communities,True,LFR_ExponentiatedGradientReduction_tuned,-9.3489,-3.4058,-6.3774
demographic_parity,communities,True,LFR_GridSearchReduction_tuned,-18.197,4.9844,-2.9714
demographic_parity,communities,True,LFR_MetaFairClassifier_tuned,-11.6861,-11.2051,-4.7678
demographic_parity,communities,True,LFR_AdaFair_tuned,-5.8431,0.0,-0.4293
demographic_parity,communities,True,LFR_FAGTB_tuned,-6.177,0.7001,0.3501
demographic_parity,communities,True,LFR_HGR_tuned,-39.8998,4.9844,-10.8634
demographic_parity,communities,True,LFR_FairDummies_tuned,-15.025,4.9554,2.2273
demographic_parity,communities,True,LFR_GeneralFairERM_tuned,-11.8531,-6.2809,-7.6634
demographic_parity,communities,True,LFR_MultiAdversarialDebiasing_tuned,-6.3439,2.6433,-1.8503
