,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
0,demographic_parity,adult_data_set,Fair-SMOTE,0.7602,-11.817,-5.5284
1,demographic_parity,adult_data_set,FairSSL-CT,11.4602,-12.4235,-0.4816
2,demographic_parity,adult_data_set,FairSSL-LP,5.1039,-15.2218,-5.059
3,demographic_parity,adult_data_set,FairSSL-LS,5.4876,-15.1185,-4.8155
4,demographic_parity,adult_data_set,FairSSL-ST,5.5672,-11.0189,-2.7258
5,demographic_parity,adult_data_set,GerryFairClassifier,0.1086,-0.1214,-0.0064
6,demographic_parity,adult_data_set,ExponentiatedGradientReduction,-0.0217,1.0707,0.5245
7,demographic_parity,adult_data_set,GridSearchReduction,-6.3346,-34.7839,-20.5592
8,demographic_parity,adult_data_set,JiangNachum,0.7095,0.1479,0.4287
9,demographic_parity,adult_data_set,DPAbstention,-0.0145,-0.0591,-0.0368
10,demographic_parity,compas,Fair-SMOTE,-0.216,-2.665,-1.4405
11,demographic_parity,compas,FairSSL-CT,-0.432,-0.0801,-0.256
12,demographic_parity,compas,FairSSL-LP,0.7559,3.5559,2.1559
13,demographic_parity,compas,FairSSL-LS,-0.6479,2.0207,0.6864
14,demographic_parity,compas,FairSSL-ST,1.0799,1.6466,1.3633
15,demographic_parity,compas,GerryFairClassifier,0.0,0.0,0.0
16,demographic_parity,compas,ExponentiatedGradientReduction,-2.2138,6.9982,2.3922
17,demographic_parity,compas,GridSearchReduction,-8.3693,-29.9544,-19.1619
18,demographic_parity,compas,JiangNachum,-2.2138,5.9009,1.8436
19,demographic_parity,compas,DPAbstention,-0.7019,-1.2327,-0.9673
20,equalized_odds,adult_data_set,Fair-SMOTE,1.7013,-13.4716,-5.8852
21,equalized_odds,adult_data_set,FairSSL-CT,11.8656,-11.3513,0.2572
22,equalized_odds,adult_data_set,FairSSL-LP,6.3274,-15.3482,-4.5104
23,equalized_odds,adult_data_set,FairSSL-LS,5.4803,-15.2193,-4.8695
24,equalized_odds,adult_data_set,FairSSL-ST,5.9075,-13.4422,-3.7674
25,equalized_odds,adult_data_set,GerryFairClassifier,0.1086,-0.1965,-0.044
26,equalized_odds,adult_data_set,ExponentiatedGradientReduction,-0.4344,0.4792,0.0224
27,equalized_odds,adult_data_set,GridSearchReduction,3.9094,-9.8921,-2.9913
28,equalized_odds,adult_data_set,JiangNachum,1.9185,-0.8828,0.5178
29,equalized_odds,adult_data_set,DPAbstention,-0.0145,-0.0674,-0.0409
30,equalized_odds,compas,Fair-SMOTE,-0.27,-3.009,-1.6395
31,equalized_odds,compas,FairSSL-CT,0.8639,0.6307,0.7473
32,equalized_odds,compas,FairSSL-LP,0.108,2.8707,1.4894
33,equalized_odds,compas,FairSSL-LS,0.378,2.5229,1.4505
34,equalized_odds,compas,FairSSL-ST,0.8639,1.0622,0.9631
35,equalized_odds,compas,GerryFairClassifier,0.0,0.0,0.0
36,equalized_odds,compas,ExponentiatedGradientReduction,-2.2138,3.8661,0.8261
37,equalized_odds,compas,GridSearchReduction,-0.594,-5.7236,-3.1588
38,equalized_odds,compas,JiangNachum,-1.3499,4.7568,1.7034
39,equalized_odds,compas,DPAbstention,-0.7019,-2.1842,-1.4431
40,treatment_equality,adult_data_set,Fair-SMOTE,1.1583,1.4167,1.2875
41,treatment_equality,adult_data_set,FairSSL-CT,11.1489,1.5324,6.3407
42,treatment_equality,adult_data_set,FairSSL-LP,5.9799,0.3748,3.1774
43,treatment_equality,adult_data_set,FairSSL-LS,5.6324,0.4,3.0162
44,treatment_equality,adult_data_set,FairSSL-ST,5.5093,-0.0189,2.7452
45,treatment_equality,adult_data_set,GerryFairClassifier,0.1086,0.0237,0.0662
46,treatment_equality,adult_data_set,ExponentiatedGradientReduction,0.0507,-0.3989,-0.1741
47,treatment_equality,adult_data_set,GridSearchReduction,-6.3346,-2.4837,-4.4091
48,treatment_equality,adult_data_set,JiangNachum,0.2679,0.5903,0.4291
49,treatment_equality,adult_data_set,DPAbstention,-0.0145,-0.0031,-0.0088
50,treatment_equality,compas,Fair-SMOTE,-0.162,0.5039,0.1709
51,treatment_equality,compas,FairSSL-CT,1.5119,-1.2715,0.1202
52,treatment_equality,compas,FairSSL-LP,0.108,0.6589,0.3835
53,treatment_equality,compas,FairSSL-LS,0.054,2.0754,1.0647
54,treatment_equality,compas,FairSSL-ST,1.1339,2.1547,1.6443
55,treatment_equality,compas,GerryFairClassifier,0.0,0.0,0.0
56,treatment_equality,compas,ExponentiatedGradientReduction,-2.2678,-2.3415,-2.3047
57,treatment_equality,compas,GridSearchReduction,-8.3693,-16.6128,-12.491
58,treatment_equality,compas,JiangNachum,-0.594,0.904,0.155
59,treatment_equality,compas,DPAbstention,-0.7019,-3.0221,-1.862
