,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
0,demographic_parity,adult_data_set,Fair-SMOTE,-0.6878,-1.5226,-1.1052
1,demographic_parity,adult_data_set,FairSSL-CT,9.853,0.1703,5.0117
2,demographic_parity,adult_data_set,FairSSL-LP,3.1058,-2.0091,0.5483
3,demographic_parity,adult_data_set,FairSSL-LS,3.8876,-1.7307,1.0785
4,demographic_parity,adult_data_set,FairSSL-ST,3.9745,-1.8931,1.0407
5,demographic_parity,adult_data_set,ExponentiatedGradientReduction,-0.181,0.7412,0.2801
6,demographic_parity,adult_data_set,GridSearchReduction,-1.057,-2.5688,-1.8129
7,demographic_parity,adult_data_set,JiangNachum,-2.0778,-2.2442,-2.161
8,demographic_parity,compas,Fair-SMOTE,0.324,-0.1306,0.0967
9,demographic_parity,compas,FairSSL-CT,1.4039,0.3967,0.9003
10,demographic_parity,compas,FairSSL-LP,0.7559,1.5606,1.1583
11,demographic_parity,compas,FairSSL-LS,0.594,1.3652,0.9796
12,demographic_parity,compas,FairSSL-ST,-0.9719,-0.6391,-0.8055
13,demographic_parity,compas,ExponentiatedGradientReduction,-1.3499,3.0935,0.8718
14,demographic_parity,compas,GridSearchReduction,1.6199,-3.4661,-0.9231
15,demographic_parity,compas,JiangNachum,-8.0994,9.7386,0.8196
16,equalized_odds,adult_data_set,Fair-SMOTE,-0.2896,-1.6142,-0.9519
17,equalized_odds,adult_data_set,FairSSL-CT,9.7227,0.0913,4.907
18,equalized_odds,adult_data_set,FairSSL-LP,3.0406,-1.5058,0.7674
19,equalized_odds,adult_data_set,FairSSL-LS,3.113,-1.8591,0.6269
20,equalized_odds,adult_data_set,FairSSL-ST,3.9383,-1.7901,1.0741
21,equalized_odds,adult_data_set,ExponentiatedGradientReduction,-0.9701,0.6079,-0.1811
22,equalized_odds,adult_data_set,GridSearchReduction,-1.1221,-1.7322,-1.4272
23,equalized_odds,adult_data_set,JiangNachum,0.9484,-0.8664,0.041
24,equalized_odds,compas,Fair-SMOTE,0.108,-0.2222,-0.0571
25,equalized_odds,compas,FairSSL-CT,0.486,-0.2522,0.1169
26,equalized_odds,compas,FairSSL-LP,1.5659,1.4344,1.5001
27,equalized_odds,compas,FairSSL-LS,0.378,0.444,0.411
28,equalized_odds,compas,FairSSL-ST,0.108,-1.1066,-0.4993
29,equalized_odds,compas,ExponentiatedGradientReduction,0.8099,-0.463,0.1735
30,equalized_odds,compas,GridSearchReduction,13.067,-6.9116,3.0777
31,equalized_odds,compas,JiangNachum,-7.8294,7.8535,0.0121
32,treatment_equality,adult_data_set,Fair-SMOTE,-0.8181,0.6549,-0.0816
33,treatment_equality,adult_data_set,FairSSL-CT,9.911,-0.5396,4.6857
34,treatment_equality,adult_data_set,FairSSL-LP,3.1275,0.173,1.6503
35,treatment_equality,adult_data_set,FairSSL-LS,2.9755,0.1001,1.5378
36,treatment_equality,adult_data_set,FairSSL-ST,3.9962,0.0765,2.0363
37,treatment_equality,adult_data_set,ExponentiatedGradientReduction,-0.1376,-0.2994,-0.2185
38,treatment_equality,adult_data_set,GridSearchReduction,-1.057,-0.8036,-0.9303
39,treatment_equality,adult_data_set,JiangNachum,0.0,0.0,0.0
40,treatment_equality,compas,Fair-SMOTE,-0.162,-0.0148,-0.0884
41,treatment_equality,compas,FairSSL-CT,0.9719,-0.389,0.2914
42,treatment_equality,compas,FairSSL-LP,1.8898,0.3182,1.104
43,treatment_equality,compas,FairSSL-LS,0.6479,-0.109,0.2695
44,treatment_equality,compas,FairSSL-ST,-0.8639,-0.0903,-0.4771
45,treatment_equality,compas,ExponentiatedGradientReduction,-1.1339,2.4784,0.6723
46,treatment_equality,compas,GridSearchReduction,1.6199,-3.5642,-0.9722
47,treatment_equality,compas,JiangNachum,0.0,0.0,0.0
