,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
0,demographic_parity,communities,Reweighing,0.8347,-11.0123,-5.0888
1,demographic_parity,communities,Fair-SMOTE,1.6694,-13.3523,-5.8414
2,demographic_parity,communities,FairSSL-LS,3.5058,-21.029,-8.7616
3,demographic_parity,communities,FairSSL-CT,1.5025,-15.6856,-7.0916
4,demographic_parity,communities,FairSSL-LP,4.5075,-20.3634,-7.928
5,demographic_parity,communities,FairSSL-ST,2.8381,-19.0268,-8.0943
6,demographic_parity,communities,GridSearchReduction,-4.8414,15.6745,5.4165
7,demographic_parity,communities,ExponentiatedGradientReduction,-4.1736,0.7993,-1.6871
8,demographic_parity,communities,FAGTB,1.3356,-3.3378,-1.0011
9,demographic_parity,communities,RejectOptionClassification,-21.0351,-0.3579,-10.6965
10,demographic_parity,communities,EqOddsPostprocessing,2.5042,-0.3155,1.0943
11,demographic_parity,communities,CalibratedEqOddsPostprocessing,0.0,4.0067,2.0033
12,demographic_parity,communities,JiangNachum,0.3339,-0.5797,-0.1229
13,demographic_parity,compas_race,LFR,-5.5616,-10.4918,-8.0267
14,demographic_parity,compas_race,Reweighing,-0.486,-14.9836,-7.7348
15,demographic_parity,compas_race,Fair-SMOTE,-0.27,-16.0963,-8.1831
16,demographic_parity,compas_race,FairSSL-LS,-0.7559,-15.6743,-8.2151
17,demographic_parity,compas_race,FairSSL-CT,-0.54,-20.3377,-10.4388
18,demographic_parity,compas_race,FairSSL-LP,-1.0259,-17.8328,-9.4294
19,demographic_parity,compas_race,FairSSL-ST,-0.7559,-16.2978,-8.5269
20,demographic_parity,compas_race,GridSearchReduction,-2.1598,7.3164,2.5783
21,demographic_parity,compas_race,ExponentiatedGradientReduction,-12.743,2.0573,-5.3428
22,demographic_parity,compas_race,FAGTB,-1.4039,-13.4649,-7.4344
23,demographic_parity,compas_race,RejectOptionClassification,0.0,0.1753,0.0876
24,demographic_parity,compas_race,EqOddsPostprocessing,-0.216,-0.305,-0.2605
25,demographic_parity,compas_race,CalibratedEqOddsPostprocessing,0.108,4.252,2.18
26,demographic_parity,compas_race,JiangNachum,-10.3132,-0.7013,-5.5072
27,demographic_parity,german,Reweighing,0.0,0.0,0.0
28,demographic_parity,german,Fair-SMOTE,0.0,0.0,0.0
29,demographic_parity,german,FairSSL-LS,0.0,-0.3553,-0.1777
30,demographic_parity,german,FairSSL-CT,2.3333,-2.1265,0.1034
31,demographic_parity,german,FairSSL-LP,2.0,-1.3103,0.3448
32,demographic_parity,german,FairSSL-ST,-1.3333,1.4102,0.0385
33,demographic_parity,german,GridSearchReduction,0.0,0.0,0.0
34,demographic_parity,german,ExponentiatedGradientReduction,0.3333,0.4608,0.3971
35,demographic_parity,german,FAGTB,0.0,-1.8433,-0.9217
36,demographic_parity,german,RejectOptionClassification,-0.3333,4.5028,2.0847
37,demographic_parity,german,EqOddsPostprocessing,-1.0,0.6718,-0.1641
38,demographic_parity,german,CalibratedEqOddsPostprocessing,0.3333,8.4337,4.3835
39,demographic_parity,german,JiangNachum,-0.3333,1.2048,0.4357
40,demographic_parity,implicit10,LFR,-2.6226,-4.4265,-3.5245
41,demographic_parity,implicit10,Reweighing,0.5701,-6.7042,-3.067
42,demographic_parity,implicit10,Fair-SMOTE,0.4333,-7.7102,-3.6385
43,demographic_parity,implicit10,FairSSL-LS,1.1403,-15.6959,-7.2778
44,demographic_parity,implicit10,FairSSL-CT,0.3421,-18.2924,-8.9752
45,demographic_parity,implicit10,FairSSL-LP,0.0912,-10.1261,-5.0174
46,demographic_parity,implicit10,FairSSL-ST,0.4105,-18.7782,-9.1839
47,demographic_parity,implicit10,GridSearchReduction,-0.0912,6.2987,3.1037
48,demographic_parity,implicit10,ExponentiatedGradientReduction,-1.7104,1.0519,-0.3292
49,demographic_parity,implicit10,FAGTB,-0.9806,-3.9,-2.4403
50,demographic_parity,implicit10,RejectOptionClassification,-0.1824,-0.6294,-0.4059
51,demographic_parity,implicit10,EqOddsPostprocessing,0.0456,0.6351,0.3403
52,demographic_parity,implicit10,CalibratedEqOddsPostprocessing,-0.2509,3.1452,1.4472
53,demographic_parity,implicit10,JiangNachum,-9.4413,1.9556,-3.7428
54,demographic_parity,implicit20,LFR,-3.6071,-23.3004,-13.4537
55,demographic_parity,implicit20,Reweighing,2.2913,-27.3531,-12.5309
56,demographic_parity,implicit20,Fair-SMOTE,2.2913,-27.3531,-12.5309
57,demographic_parity,implicit20,FairSSL-LS,0.4991,-4.255,-1.8779
58,demographic_parity,implicit20,FairSSL-CT,0.9528,-0.6791,0.1368
59,demographic_parity,implicit20,FairSSL-LP,0.1588,-0.0419,0.0585
60,demographic_parity,implicit20,FairSSL-ST,0.0,0.0,0.0
61,demographic_parity,implicit20,GridSearchReduction,-2.1098,-6.4903,-4.3001
62,demographic_parity,implicit20,ExponentiatedGradientReduction,-0.9074,-0.6277,-0.7676
63,demographic_parity,implicit20,FAGTB,0.1815,-0.5579,-0.1882
64,demographic_parity,implicit20,RejectOptionClassification,0.1815,-0.3651,-0.0918
65,demographic_parity,implicit20,EqOddsPostprocessing,-1.4973,-0.379,-0.9382
66,demographic_parity,implicit20,CalibratedEqOddsPostprocessing,0.431,-2.8668,-1.2179
67,demographic_parity,implicit20,JiangNachum,-0.0454,-0.0161,-0.0307
68,demographic_parity,implicit30,LFR,2.9941,-0.1555,1.4193
69,demographic_parity,implicit30,Reweighing,0.7429,-16.4388,-7.8479
70,demographic_parity,implicit30,Fair-SMOTE,0.833,-16.2625,-7.7148
71,demographic_parity,implicit30,FairSSL-LS,2.0486,-23.6773,-10.8143
72,demographic_parity,implicit30,FairSSL-CT,1.6659,-23.6916,-11.0129
73,demographic_parity,implicit30,FairSSL-LP,0.9905,-20.7328,-9.8711
74,demographic_parity,implicit30,FairSSL-ST,1.8235,-21.1333,-9.6549
75,demographic_parity,implicit30,GridSearchReduction,-2.5889,-8.1723,-5.3806
76,demographic_parity,implicit30,ExponentiatedGradientReduction,-5.7857,-0.6177,-3.2017
77,demographic_parity,implicit30,FAGTB,-3.1067,-9.2746,-6.1907
78,demographic_parity,implicit30,RejectOptionClassification,0.5403,-2.3289,-0.8943
79,demographic_parity,implicit30,EqOddsPostprocessing,-0.968,0.8105,-0.0788
80,demographic_parity,implicit30,CalibratedEqOddsPostprocessing,0.5403,0.9891,0.7647
81,demographic_parity,implicit30,JiangNachum,-5.538,-8.1236,-6.8308
82,demographic_parity,implicit40,Reweighing,-0.7044,0.4846,-0.1099
83,demographic_parity,implicit40,Fair-SMOTE,-2.1586,8.8617,3.3516
84,demographic_parity,implicit40,FairSSL-LS,0.7726,-12.6322,-5.9298
85,demographic_parity,implicit40,FairSSL-CT,2.5676,-14.8474,-6.1399
86,demographic_parity,implicit40,FairSSL-LP,0.5226,-8.775,-4.1262
87,demographic_parity,implicit40,FairSSL-ST,0.5453,-5.1731,-2.3139
88,demographic_parity,implicit40,GridSearchReduction,-0.5908,-0.6512,-0.621
89,demographic_parity,implicit40,ExponentiatedGradientReduction,-2.1359,1.5404,-0.2977
