,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
0,demographic_parity,adult_data_set,Fair-SMOTE_tuned,0.8253,-11.832,-5.5033
1,demographic_parity,adult_data_set,FairSSL-CT_tuned,0.1448,-1.0449,-0.45
2,demographic_parity,adult_data_set,FairSSL-LP_tuned,6.588,-16.6417,-5.0268
3,demographic_parity,adult_data_set,FairSSL-LS_tuned,5.6613,-14.7015,-4.5201
4,demographic_parity,adult_data_set,FairSSL-ST_tuned,5.6034,-11.8981,-3.1473
5,demographic_parity,adult_data_set,GerryFairClassifier_tuned,0.0,-0.0133,-0.0067
6,demographic_parity,adult_data_set,ExponentiatedGradientReduction_tuned,-0.4489,1.2324,0.3918
7,demographic_parity,adult_data_set,GridSearchReduction_tuned,-6.3346,-34.7839,-20.5592
8,demographic_parity,adult_data_set,JiangNachum_tuned,0.3113,0.1689,0.2401
9,demographic_parity,adult_data_set,DPAbstention_tuned,-2.3022,1.8121,-0.245
10,demographic_parity,compas,Fair-SMOTE_tuned,-0.27,-2.0681,-1.169
11,demographic_parity,compas,FairSSL-CT_tuned,-0.108,-5.4141,-2.761
12,demographic_parity,compas,FairSSL-LP_tuned,0.486,3.6126,2.0493
13,demographic_parity,compas,FairSSL-LS_tuned,0.7019,3.2836,1.9928
14,demographic_parity,compas,FairSSL-ST_tuned,0.8099,1.3375,1.0737
15,demographic_parity,compas,GerryFairClassifier_tuned,-1.3499,-8.3989,-4.8744
16,demographic_parity,compas,ExponentiatedGradientReduction_tuned,-1.6199,6.5857,2.4829
17,demographic_parity,compas,GridSearchReduction_tuned,-8.3693,-29.9544,-19.1619
18,demographic_parity,compas,JiangNachum_tuned,0.216,-7.6359,-3.71
19,demographic_parity,compas,DPAbstention_tuned,-10.2592,6.5183,-1.8704
20,equalized_odds,adult_data_set,Fair-SMOTE_tuned,1.5637,-13.7718,-6.104
21,equalized_odds,adult_data_set,FairSSL-CT_tuned,0.1448,-1.9186,-0.8869
22,equalized_odds,adult_data_set,FairSSL-LP_tuned,5.2994,-15.7536,-5.2271
23,equalized_odds,adult_data_set,FairSSL-LS_tuned,5.5672,-15.1095,-4.7711
24,equalized_odds,adult_data_set,FairSSL-ST_tuned,5.7772,-13.4666,-3.8447
25,equalized_odds,adult_data_set,GerryFairClassifier_tuned,0.0,-0.0167,-0.0083
26,equalized_odds,adult_data_set,ExponentiatedGradientReduction_tuned,-0.0652,1.0044,0.4696
27,equalized_odds,adult_data_set,GridSearchReduction_tuned,3.9094,-9.8921,-2.9913
28,equalized_odds,adult_data_set,JiangNachum_tuned,2.085,-0.5696,0.7577
29,equalized_odds,adult_data_set,DPAbstention_tuned,1.0932,-2.2798,-0.5933
30,equalized_odds,compas,Fair-SMOTE_tuned,-0.054,-3.4168,-1.7354
31,equalized_odds,compas,FairSSL-CT_tuned,0.486,-1.4572,-0.4856
32,equalized_odds,compas,FairSSL-LP_tuned,1.1339,4.3395,2.7367
33,equalized_odds,compas,FairSSL-LS_tuned,0.7019,3.1806,1.9413
34,equalized_odds,compas,FairSSL-ST_tuned,0.8639,1.3058,1.0849
35,equalized_odds,compas,GerryFairClassifier_tuned,-1.3499,-7.366,-4.358
36,equalized_odds,compas,ExponentiatedGradientReduction_tuned,-1.6199,4.2701,1.3251
37,equalized_odds,compas,GridSearchReduction_tuned,-0.594,-5.7236,-3.1588
38,equalized_odds,compas,JiangNachum_tuned,-0.324,2.5389,1.1074
39,equalized_odds,compas,DPAbstention_tuned,-10.4752,5.1032,-2.686
40,treatment_equality,adult_data_set,Fair-SMOTE_tuned,1.6144,0.9178,1.2661
41,treatment_equality,adult_data_set,FairSSL-CT_tuned,0.1448,-0.1485,-0.0018
42,treatment_equality,adult_data_set,FairSSL-LP_tuned,4.9519,-0.4967,2.2276
43,treatment_equality,adult_data_set,FairSSL-LS_tuned,5.3138,-0.3609,2.4765
44,treatment_equality,adult_data_set,FairSSL-ST_tuned,5.6251,-0.3618,2.6317
45,treatment_equality,adult_data_set,GerryFairClassifier_tuned,0.0,-0.0029,-0.0014
46,treatment_equality,adult_data_set,ExponentiatedGradientReduction_tuned,-0.2244,-0.8067,-0.5156
47,treatment_equality,adult_data_set,GridSearchReduction_tuned,-6.3346,-2.4837,-4.4091
48,treatment_equality,adult_data_set,JiangNachum_tuned,0.2679,0.5903,0.4291
49,treatment_equality,adult_data_set,DPAbstention_tuned,0.5502,-0.3161,0.117
50,treatment_equality,compas,Fair-SMOTE_tuned,-0.162,0.295,0.0665
51,treatment_equality,compas,FairSSL-CT_tuned,-0.162,-0.6165,-0.3892
52,treatment_equality,compas,FairSSL-LP_tuned,-0.162,-0.4705,-0.3163
53,treatment_equality,compas,FairSSL-LS_tuned,0.324,2.1448,1.2344
54,treatment_equality,compas,FairSSL-ST_tuned,0.7019,3.9863,2.3441
55,treatment_equality,compas,GerryFairClassifier_tuned,-1.3499,-1.6817,-1.5158
56,treatment_equality,compas,ExponentiatedGradientReduction_tuned,-0.486,-2.9737,-1.7298
57,treatment_equality,compas,GridSearchReduction_tuned,-8.3693,-16.6128,-12.491
58,treatment_equality,compas,JiangNachum_tuned,-0.594,0.904,0.155
59,treatment_equality,compas,DPAbstention_tuned,-7.7754,-0.286,-4.0307
