,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
0,demographic_parity,adult_data_set,Fair-SMOTE_tuned,-0.4271,-1.776,-1.1016
1,demographic_parity,adult_data_set,FairSSL-CT_tuned,-0.0072,-0.0067,-0.007
2,demographic_parity,adult_data_set,FairSSL-LP_tuned,5.7482,-0.5577,2.5952
3,demographic_parity,adult_data_set,FairSSL-LS_tuned,6.5156,-0.539,2.9883
4,demographic_parity,adult_data_set,FairSSL-ST_tuned,5.8785,-2.2653,1.8066
5,demographic_parity,adult_data_set,ExponentiatedGradientReduction_tuned,-0.2606,0.8346,0.287
6,demographic_parity,adult_data_set,GridSearchReduction_tuned,-1.057,-2.5688,-1.8129
7,demographic_parity,adult_data_set,JiangNachum_tuned,2.6497,-4.6018,-0.9761
8,demographic_parity,compas,Fair-SMOTE_tuned,0.0,0.0,0.0
9,demographic_parity,compas,FairSSL-CT_tuned,-0.27,-1.0209,-0.6454
10,demographic_parity,compas,FairSSL-LP_tuned,0.0,0.3874,0.1937
11,demographic_parity,compas,FairSSL-LS_tuned,1.0259,1.364,1.1949
12,demographic_parity,compas,FairSSL-ST_tuned,0.054,-0.0457,0.0041
13,demographic_parity,compas,ExponentiatedGradientReduction_tuned,-1.8898,1.5852,-0.1523
14,demographic_parity,compas,GridSearchReduction_tuned,3.0778,-2.3111,0.3833
15,demographic_parity,compas,JiangNachum_tuned,-0.216,0.177,-0.0195
16,equalized_odds,adult_data_set,Fair-SMOTE_tuned,-0.6226,-1.5683,-1.0954
17,equalized_odds,adult_data_set,FairSSL-CT_tuned,-0.0072,-0.0047,-0.006
18,equalized_odds,adult_data_set,FairSSL-LP_tuned,5.7989,-0.9574,2.4208
19,equalized_odds,adult_data_set,FairSSL-LS_tuned,6.6821,-1.5366,2.5728
20,equalized_odds,adult_data_set,FairSSL-ST_tuned,3.96,-1.6515,1.1543
21,equalized_odds,adult_data_set,ExponentiatedGradientReduction_tuned,-0.3765,0.1436,-0.1164
22,equalized_odds,adult_data_set,GridSearchReduction_tuned,-1.1221,-1.7322,-1.4272
23,equalized_odds,adult_data_set,JiangNachum_tuned,1.933,-1.0275,0.4527
24,equalized_odds,compas,Fair-SMOTE_tuned,-0.432,0.1599,-0.136
25,equalized_odds,compas,FairSSL-CT_tuned,1.0799,0.5839,0.8319
26,equalized_odds,compas,FairSSL-LP_tuned,0.378,1.085,0.7315
27,equalized_odds,compas,FairSSL-LS_tuned,1.0259,0.824,0.925
28,equalized_odds,compas,FairSSL-ST_tuned,-0.9179,-1.3951,-1.1565
29,equalized_odds,compas,ExponentiatedGradientReduction_tuned,0.9179,-0.6889,0.1145
30,equalized_odds,compas,GridSearchReduction_tuned,12.257,-7.6362,2.3104
31,equalized_odds,compas,JiangNachum_tuned,-1.5119,0.1037,-0.7041
32,treatment_equality,adult_data_set,Fair-SMOTE_tuned,-0.695,0.4907,-0.1022
33,treatment_equality,adult_data_set,FairSSL-CT_tuned,-0.0072,-0.0029,-0.0051
34,treatment_equality,adult_data_set,FairSSL-LP_tuned,2.9465,0.0276,1.487
35,treatment_equality,adult_data_set,FairSSL-LS_tuned,3.3664,0.0284,1.6974
36,treatment_equality,adult_data_set,FairSSL-ST_tuned,5.8785,0.2595,3.069
37,treatment_equality,adult_data_set,ExponentiatedGradientReduction_tuned,-0.2751,-0.3178,-0.2965
38,treatment_equality,adult_data_set,GridSearchReduction_tuned,-1.057,-0.8036,-0.9303
39,treatment_equality,adult_data_set,JiangNachum_tuned,0.0,0.0,0.0
40,treatment_equality,compas,Fair-SMOTE_tuned,0.0,0.0,0.0
41,treatment_equality,compas,FairSSL-CT_tuned,1.4579,-0.4697,0.4941
42,treatment_equality,compas,FairSSL-LP_tuned,0.8639,0.328,0.596
43,treatment_equality,compas,FairSSL-LS_tuned,-0.216,-0.3127,-0.2643
44,treatment_equality,compas,FairSSL-ST_tuned,-0.9179,0.0444,-0.4368
45,treatment_equality,compas,ExponentiatedGradientReduction_tuned,-2.2138,1.2134,-0.5002
46,treatment_equality,compas,GridSearchReduction_tuned,3.0778,-1.09,0.9939
47,treatment_equality,compas,JiangNachum_tuned,0.0,0.0,0.0
