,metric,dataset,model,error_rate-DIFF,global-DIFF,DELTA-DIFF
0,demographic_parity,communities,LFR_tuned,2.0033,-1.9732,0.015
1,demographic_parity,communities,Reweighing_tuned,0.8347,-11.0123,-5.0888
2,demographic_parity,communities,Fair-SMOTE_tuned,0.8347,1.6734,1.254
3,demographic_parity,communities,FairSSL-LS_tuned,0.5008,1.0011,0.751
4,demographic_parity,communities,FairSSL-CT_tuned,0.8347,-2.3322,-0.7487
5,demographic_parity,communities,FairSSL-LP_tuned,-0.8347,1.0022,0.0838
6,demographic_parity,communities,FairSSL-ST_tuned,0.6678,-1.3344,-0.3333
7,demographic_parity,communities,GridSearchReduction_tuned,0.0,0.0,0.0
8,demographic_parity,communities,ExponentiatedGradientReduction_tuned,1.3356,-1.3356,-0.0
9,demographic_parity,communities,FAGTB_tuned,-12.5209,10.8473,-0.8368
10,demographic_parity,communities,RejectOptionClassification_tuned,-19.5326,-1.3612,-10.4469
11,demographic_parity,communities,EqOddsPostprocessing_tuned,2.6711,-5.3411,-1.335
12,demographic_parity,communities,CalibratedEqOddsPostprocessing_tuned,0.0,10.0,5.0
13,demographic_parity,communities,JiangNachum_tuned,-1.6694,-2.01,-1.8397
14,demographic_parity,compas_race,LFR_tuned,0.108,-1.6878,-0.7899
15,demographic_parity,compas_race,Reweighing_tuned,-0.486,-14.9836,-7.7348
16,demographic_parity,compas_race,Fair-SMOTE_tuned,0.0,-0.3873,-0.1937
17,demographic_parity,compas_race,FairSSL-LS_tuned,-0.432,0.7625,0.1653
18,demographic_parity,compas_race,FairSSL-CT_tuned,1.1339,3.9276,2.5308
19,demographic_parity,compas_race,FairSSL-LP_tuned,0.162,-0.528,-0.183
20,demographic_parity,compas_race,FairSSL-ST_tuned,0.0,-0.1753,-0.0876
21,demographic_parity,compas_race,GridSearchReduction_tuned,0.0,0.0,0.0
22,demographic_parity,compas_race,ExponentiatedGradientReduction_tuned,-0.054,0.4587,0.2023
23,demographic_parity,compas_race,FAGTB_tuned,-11.879,-0.2401,-6.0596
24,demographic_parity,compas_race,RejectOptionClassification_tuned,3.7797,2.1207,2.9502
25,demographic_parity,compas_race,EqOddsPostprocessing_tuned,1.7819,0.5805,1.1812
26,demographic_parity,compas_race,CalibratedEqOddsPostprocessing_tuned,0.162,5.8274,2.9947
27,demographic_parity,compas_race,JiangNachum_tuned,-10.4752,-0.2631,-5.3691
28,demographic_parity,german,LFR_tuned,0.0,0.0,0.0
29,demographic_parity,german,Reweighing_tuned,0.0,0.0,0.0
30,demographic_parity,german,Fair-SMOTE_tuned,2.3333,4.8915,3.6124
31,demographic_parity,german,FairSSL-LS_tuned,0.0,0.0,0.0
32,demographic_parity,german,FairSSL-CT_tuned,4.0,3.5423,3.7711
33,demographic_parity,german,FairSSL-LP_tuned,-1.0,-3.2258,-2.1129
34,demographic_parity,german,FairSSL-ST_tuned,-1.0,0.5608,-0.2196
35,demographic_parity,german,GridSearchReduction_tuned,0.0,0.0,0.0
36,demographic_parity,german,ExponentiatedGradientReduction_tuned,0.0,0.0,0.0
37,demographic_parity,german,FAGTB_tuned,0.0,0.0,0.0
38,demographic_parity,german,RejectOptionClassification_tuned,-2.3333,5.4911,1.5789
39,demographic_parity,german,EqOddsPostprocessing_tuned,-1.3333,-2.9426,-2.138
40,demographic_parity,german,CalibratedEqOddsPostprocessing_tuned,-0.3333,6.0241,2.8454
41,demographic_parity,german,JiangNachum_tuned,0.0,0.0,0.0
42,demographic_parity,implicit10,LFR_tuned,-1.1859,1.2479,0.031
43,demographic_parity,implicit10,Reweighing_tuned,0.5701,-6.7042,-3.067
44,demographic_parity,implicit10,Fair-SMOTE_tuned,0.3193,-0.5482,-0.1145
45,demographic_parity,implicit10,FairSSL-LS_tuned,0.114,-0.3195,-0.1027
46,demographic_parity,implicit10,FairSSL-CT_tuned,-0.3193,0.9105,0.2956
47,demographic_parity,implicit10,FairSSL-LP_tuned,-0.0456,0.0,-0.0228
48,demographic_parity,implicit10,FairSSL-ST_tuned,-0.2281,1.731,0.7515
49,demographic_parity,implicit10,GridSearchReduction_tuned,0.0,0.0,0.0
50,demographic_parity,implicit10,ExponentiatedGradientReduction_tuned,-0.114,0.5037,0.1948
51,demographic_parity,implicit10,FAGTB_tuned,0.3649,-4.6453,-2.1402
52,demographic_parity,implicit10,RejectOptionClassification_tuned,0.0,-2.1255,-1.0627
53,demographic_parity,implicit10,EqOddsPostprocessing_tuned,-0.5929,-0.3845,-0.4887
54,demographic_parity,implicit10,CalibratedEqOddsPostprocessing_tuned,0.3877,5.7256,3.0567
55,demographic_parity,implicit10,JiangNachum_tuned,-2.7138,-3.2359,-2.9748
56,demographic_parity,implicit20,LFR_tuned,-0.0227,0.4188,0.1981
57,demographic_parity,implicit20,Reweighing_tuned,2.2913,-27.3531,-12.5309
58,demographic_parity,implicit20,Fair-SMOTE_tuned,-0.0227,0.1353,0.0563
59,demographic_parity,implicit20,FairSSL-LS_tuned,0.0,0.0,0.0
60,demographic_parity,implicit20,FairSSL-CT_tuned,-0.2722,-0.5482,-0.4102
61,demographic_parity,implicit20,FairSSL-LP_tuned,0.0,0.0,0.0
62,demographic_parity,implicit20,FairSSL-ST_tuned,0.0,0.0,0.0
63,demographic_parity,implicit20,GridSearchReduction_tuned,0.0,0.0,0.0
64,demographic_parity,implicit20,ExponentiatedGradientReduction_tuned,0.1815,-0.3164,-0.0675
65,demographic_parity,implicit20,FAGTB_tuned,-1.3158,-0.1486,-0.7322
66,demographic_parity,implicit20,RejectOptionClassification_tuned,-0.1361,-0.2706,-0.2034
67,demographic_parity,implicit20,EqOddsPostprocessing_tuned,-0.4991,-0.3598,-0.4294
68,demographic_parity,implicit20,CalibratedEqOddsPostprocessing_tuned,0.3176,7.6921,4.0049
69,demographic_parity,implicit20,JiangNachum_tuned,-0.0454,0.3384,0.1465
70,demographic_parity,implicit30,LFR_tuned,-0.6529,0.8931,0.1201
71,demographic_parity,implicit30,Reweighing_tuned,0.7429,-16.4388,-7.8479
72,demographic_parity,implicit30,Fair-SMOTE_tuned,0.1351,0.092,0.1136
73,demographic_parity,implicit30,FairSSL-LS_tuned,0.0,-0.0019,-0.001
74,demographic_parity,implicit30,FairSSL-CT_tuned,-0.1801,2.2211,1.0205
75,demographic_parity,implicit30,FairSSL-LP_tuned,-0.1351,0.5405,0.2027
76,demographic_parity,implicit30,FairSSL-ST_tuned,0.045,-0.3448,-0.1499
