metric,dataset,model,binarize,ignore,error_rate,bias,max_bias_gap
demographic_parity,compas_mult,PFR,True,True,34.88120950323974,10.448962286153204,26.40331278890601
demographic_parity,compas_mult,Fair-SMOTE,True,True,33.261339092872575,11.484291810720949,28.978708285082643
demographic_parity,compas_mult,FairSSL-xT,True,True,40.76673866090712,6.904553215395265,16.208943046636488
demographic_parity,compas_mult,FairSSL-Lx,True,True,33.53131749460043,11.341569600509672,29.78734603642489
demographic_parity,compas_mult,ExponentiatedGradientReduction,True,True,45.08639308855292,1.392013078587487,3.476681755974313
demographic_parity,compas_mult,GridSearchReduction,True,True,32.23542116630669,10.930438017652827,26.628460890620065
demographic_parity,compas_mult,JiangNachum,True,True,45.41036717062635,0.9465030015608196,1.9288264647681324
demographic_parity,compas_mult,PFR,True,False,34.44924406047516,14.536891530344526,35.14646278555637
demographic_parity,compas_mult,Fair-SMOTE,True,False,32.289416846652266,6.625289850295367,16.459627329192543
demographic_parity,compas_mult,FairSSL-xT,True,False,45.84233261339093,19.87866654748518,40.00154083204931
demographic_parity,compas_mult,FairSSL-Lx,True,False,33.53131749460043,10.171545236591731,28.304295188967256
demographic_parity,compas_mult,ExponentiatedGradientReduction,True,False,44.38444924406048,1.2693022811253305,3.4622065480576905
demographic_parity,compas_mult,GridSearchReduction,True,False,32.23542116630669,10.930438017652827,26.628460890620065
demographic_parity,compas_mult,JiangNachum,True,False,36.06911447084234,3.3269342448852104,12.335948315643744
demographic_parity,compas_mult,PFR,False,True,34.88120950323974,10.448962286153204,26.40331278890601
demographic_parity,compas_mult,Fair-SMOTE,False,True,33.477321814254864,11.541056931676668,28.79579429413623
demographic_parity,compas_mult,FairSSL-xT,False,True,44.00647948164147,3.7518167078111055,7.865331669964726
demographic_parity,compas_mult,FairSSL-Lx,False,True,32.99136069114471,9.652694882477627,24.615749026213287
demographic_parity,compas_mult,ExponentiatedGradientReduction,False,True,45.46436285097192,0.9685000956084764,2.4798663017159703
demographic_parity,compas_mult,GridSearchReduction,False,True,34.82721382289417,11.827180861561825,29.56627013369829
demographic_parity,compas_mult,JiangNachum,False,True,45.03239740820735,1.3208692387025265,2.670351888496945
demographic_parity,compas_mult,PFR,False,False,34.44924406047516,11.187580349336557,29.780431432973803
demographic_parity,compas_mult,Fair-SMOTE,False,False,32.18142548596112,6.214669920138789,14.63969891567533
demographic_parity,compas_mult,FairSSL-xT,False,False,47.19222462203024,16.156881994894952,40.54545454545455
demographic_parity,compas_mult,FairSSL-Lx,False,False,34.28725701943844,4.921746738481178,11.182203389830509
demographic_parity,compas_mult,ExponentiatedGradientReduction,False,False,45.41036717062635,0.966306243685428,2.16600790513834
demographic_parity,compas_mult,GridSearchReduction,False,False,34.82721382289417,11.827180861561825,29.56627013369829
demographic_parity,compas_mult,JiangNachum,False,False,34.77321814254859,2.1808790361339385,5.955796575968725
demographic_parity,adult_data_set,PFR,True,True,25.331209729964527,0.6674231450812325,1.3182817854382824
demographic_parity,adult_data_set,Fair-SMOTE,True,True,28.1039600376457,7.409582055843692,18.17152811786045
demographic_parity,adult_data_set,FairSSL-xT,True,True,32.360819517845506,5.570158517291066,19.91298305654741
demographic_parity,adult_data_set,FairSSL-Lx,True,True,27.394483457612395,3.405948274191948,9.290654934984827
demographic_parity,adult_data_set,ExponentiatedGradientReduction,True,True,22.81908347209151,2.1449094363420844,5.86759706898525
demographic_parity,adult_data_set,GridSearchReduction,True,True,22.06616955042352,2.86081272652681,6.734797191059312
demographic_parity,adult_data_set,JiangNachum,True,True,24.187359733584305,0.5363767411337261,1.2699963365490292
demographic_parity,adult_data_set,PFR,True,False,21.55940056468544,14.113966095308497,26.01806938791554
demographic_parity,adult_data_set,Fair-SMOTE,True,False,27.82885687395932,5.64250124223624,15.278604816871516
demographic_parity,adult_data_set,FairSSL-xT,True,False,29.29848693259973,14.06221587653179,38.7938793879388
demographic_parity,adult_data_set,FairSSL-Lx,True,False,30.637804966336063,5.008175133679173,12.200802434243574
demographic_parity,adult_data_set,ExponentiatedGradientReduction,True,False,22.884239484543546,2.312336859948311,6.293103537157839
demographic_parity,adult_data_set,GridSearchReduction,True,False,22.06616955042352,2.86081272652681,6.734797191059312
demographic_parity,adult_data_set,JiangNachum,True,False,24.16564106276696,0.7163230825124539,2.364875662824014
demographic_parity,adult_data_set,PFR,False,True,25.331209729964527,0.6674231450812325,1.3182817854382824
demographic_parity,adult_data_set,Fair-SMOTE,False,True,27.69854484905524,7.178676754883906,17.735355043511696
demographic_parity,adult_data_set,FairSSL-xT,False,True,24.05704770868023,1.304102157214267,2.6662341584420863
demographic_parity,adult_data_set,ExponentiatedGradientReduction,False,True,23.12314486353435,1.492127267570663,4.82842098642854
demographic_parity,adult_data_set,GridSearchReduction,False,True,23.12314486353435,5.429643879502951,12.815714347109395
demographic_parity,adult_data_set,JiangNachum,False,True,26.265112575110404,2.780552894623769,6.215948894649137
demographic_parity,adult_data_set,PFR,False,False,21.537681893868097,14.129845789586184,26.132616925143488
demographic_parity,adult_data_set,Fair-SMOTE,False,False,27.655107507420546,6.763275918251368,16.610176224720753
demographic_parity,adult_data_set,FairSSL-xT,False,False,20.234561644827338,16.50814668518157,30.21125900598364
demographic_parity,adult_data_set,ExponentiatedGradientReduction,False,False,23.21725910374285,1.1215084842793872,2.781970673648346
demographic_parity,adult_data_set,GridSearchReduction,False,False,23.12314486353435,5.429643879502951,12.815714347109395
demographic_parity,adult_data_set,JiangNachum,False,False,23.45616448273366,0.5684282120860764,1.7124687499580626
equalized_odds,compas_mult,PFR,True,True,34.88120950323974,1.632944392383479,3.772244546498274
equalized_odds,compas_mult,Fair-SMOTE,True,True,31.80345572354212,1.8988809586213464,3.608093295593296
equalized_odds,compas_mult,FairSSL-xT,True,True,39.57883369330454,2.618680380897087,6.18633785087632
equalized_odds,compas_mult,FairSSL-Lx,True,True,32.99136069114471,1.669698670404673,3.747129735935706
equalized_odds,compas_mult,ExponentiatedGradientReduction,True,True,45.8963282937365,2.706096357559428,6.542044636702888
equalized_odds,compas_mult,GridSearchReduction,True,True,34.77321814254859,1.7429962203163136,3.883347684653656
equalized_odds,compas_mult,JiangNachum,True,True,45.41036717062635,0.662091495632929,1.5703307333092795
equalized_odds,compas_mult,PFR,True,False,34.44924406047516,2.507760812722284,5.716130884041329
equalized_odds,compas_mult,Fair-SMOTE,True,False,32.66738660907127,0.43252966621114,1.0607144761241123
equalized_odds,compas_mult,FairSSL-xT,True,False,46.32829373650108,6.890320359827898,13.585026085026088
equalized_odds,compas_mult,FairSSL-Lx,True,False,33.423326133909285,1.5925727059954171,3.747129735935706
equalized_odds,compas_mult,ExponentiatedGradientReduction,True,False,44.87041036717063,1.798801822803744,4.232563145809412
equalized_odds,compas_mult,GridSearchReduction,True,False,34.77321814254859,1.7429962203163136,3.883347684653656
equalized_odds,compas_mult,JiangNachum,True,False,34.88120950323974,1.0842816796556731,3.821425257992425
equalized_odds,compas_mult,PFR,False,True,34.88120950323974,1.632944392383479,3.772244546498274
equalized_odds,compas_mult,Fair-SMOTE,False,True,33.53131749460043,1.1191372991019557,2.7236424437917046
equalized_odds,compas_mult,FairSSL-xT,False,True,45.57235421166307,0.971670200267184,2.0479173604173604
equalized_odds,compas_mult,FairSSL-Lx,False,True,32.01943844492441,1.506573602561415,2.936694582420228
equalized_odds,compas_mult,ExponentiatedGradientReduction,False,True,45.68034557235421,1.519839055739239,4.911754911754912
equalized_odds,compas_mult,GridSearchReduction,False,True,31.749460043196542,1.7419288761096023,3.499868187368185
equalized_odds,compas_mult,JiangNachum,False,True,44.76241900647948,1.2275505936610365,2.42690624296849
equalized_odds,compas_mult,PFR,False,False,34.44924406047516,1.5456869573445713,3.3646670493685416
equalized_odds,compas_mult,Fair-SMOTE,False,False,32.45140388768898,0.8969611675952345,2.633928571428568
equalized_odds,compas_mult,FairSSL-xT,False,False,48.974082073434126,1.483086193757451,0.1936689352300152
equalized_odds,compas_mult,FairSSL-Lx,False,False,34.44924406047516,2.239167632061457,6.629170085073749
equalized_odds,compas_mult,ExponentiatedGradientReduction,False,False,44.87041036717063,1.645424667364509,4.976081132797551
equalized_odds,compas_mult,GridSearchReduction,False,False,31.749460043196542,1.7419288761096023,3.499868187368185
equalized_odds,compas_mult,JiangNachum,False,False,33.96328293736501,1.0821285248269183,3.133403246980694
equalized_odds,adult_data_set,PFR,True,True,25.331209729964527,0.7237306944067358,2.0110243230529945
equalized_odds,adult_data_set,Fair-SMOTE,True,True,27.93021067110693,1.1896290486905374,3.957336903802408
equalized_odds,adult_data_set,FairSSL-xT,True,True,32.51285021356693,2.0663009073860747,6.943732392742258
equalized_odds,adult_data_set,FairSSL-Lx,True,True,27.285890103525663,1.7343319735251157,4.498753687140361
equalized_odds,adult_data_set,ExponentiatedGradientReduction,True,True,21.342213856511982,1.375830635102551,3.564599399113656
equalized_odds,adult_data_set,GridSearchReduction,True,True,22.12408600593644,1.236366227095624,3.6092720424087537
equalized_odds,adult_data_set,JiangNachum,True,True,23.557518279881272,0.922096788073991,2.4169372057857705
equalized_odds,adult_data_set,PFR,True,False,21.55940056468544,11.737516476505602,17.132545060426914
equalized_odds,adult_data_set,Fair-SMOTE,True,False,27.43068124230797,1.4773725513349962,4.235850427323726
equalized_odds,adult_data_set,FairSSL-xT,True,False,29.146456236878304,4.980187123605349,9.063251166517416
equalized_odds,adult_data_set,FairSSL-Lx,True,False,33.439513501773696,3.2450351639437964,7.939879781044196
equalized_odds,adult_data_set,ExponentiatedGradientReduction,True,False,21.414609425903137,1.1296367760789767,3.537535675592868
equalized_odds,adult_data_set,GridSearchReduction,True,False,22.12408600593644,1.236366227095624,3.6092720424087537
equalized_odds,adult_data_set,JiangNachum,True,False,23.41272714109897,1.0689602673643248,2.996644199138039
equalized_odds,adult_data_set,PFR,False,True,25.331209729964527,0.7237306944067358,2.0110243230529945
