dataset,tuning,metric,model,error_rate,bias
communities,True,demographic_parity,Reweighing_tuned,18.0635,25.0803
communities,True,demographic_parity,LFR_tuned,33.923300000000005,10.9102
communities,True,demographic_parity,DisparateImpactRemover_tuned,20.3672,19.0013
communities,True,demographic_parity,Fair-SMOTE_tuned,18.6646,27.0591
communities,True,demographic_parity,FairSSL-CT_tuned,23.3054,13.6439
communities,True,demographic_parity,FairSSL-LP_tuned,24.3405,11.1526
communities,True,demographic_parity,FairSSL-LS_tuned,24.5408,9.941
communities,True,demographic_parity,FairSSL-ST_tuned,22.304,20.8208
communities,True,demographic_parity,LTDD_tuned,22.237,8.271099999999999
communities,True,demographic_parity,PrejudiceRemover_tuned,24.3071,9.2936
communities,True,demographic_parity,SquaredDifferenceFairLogistic_tuned,18.0968,30.7925
communities,True,demographic_parity,FairnessConstraintModel_tuned,26.0767,8.849499999999999
communities,True,demographic_parity,DisparateMistreatmentModel_tuned,17.5959,33.5268
communities,True,demographic_parity,ConvexFrameworkModel_tuned,18.0635,31.5518
communities,True,demographic_parity,HSICLinearRegression_tuned,32.9216,1.5233
communities,True,demographic_parity,GerryFairClassifier_tuned,46.4107,10.1984
communities,True,demographic_parity,AdversarialDebiasing_tuned,35.2588,14.6057
communities,True,demographic_parity,ExponentiatedGradientReduction_tuned,25.4758,1.6736999999999995
communities,True,demographic_parity,GridSearchReduction_tuned,22.237,14.341
communities,True,demographic_parity,MetaFairClassifier_tuned,41.1687,26.4678
communities,True,demographic_parity,AdaFair_tuned,39.4657,0.0
communities,True,demographic_parity,FAGTB_tuned,27.0784,11.5604
communities,True,demographic_parity,HGR_tuned,19.6662,25.8916
communities,True,demographic_parity,FairDummies_tuned,47.078500000000005,6.224800000000001
communities,True,demographic_parity,GeneralFairERM_tuned,48.1135,6.373500000000001
communities,True,demographic_parity,MultiAdversarialDebiasing_tuned,40.4007,3.0366
communities,True,demographic_parity,FairGeneralizedLinearModel_tuned,39.4657,0.0
communities,True,demographic_parity,GradualCompatibility_tuned,38.3305,1.0638
communities,True,demographic_parity,RejectOptionClassification_tuned,49.4491,6.3412
communities,True,demographic_parity,EqOddsPostprocessing_tuned,28.1134,14.0284
communities,True,demographic_parity,CalibratedEqOddsPostprocessing_tuned,17.7963,61.1544
communities,True,demographic_parity,JiangNachum_tuned,28.6143,2.6136
communities,True,demographic_parity,DPAbstention_tuned,26.177000000000003,1.6104000000000005
communities,True,demographic_parity,FaX_tuned,16.1937,37.7318
communities,True,demographic_parity,FairBayesDPP_tuned,18.8648,41.4408
communities,True,demographic_parity,GetFair_tuned,16.2604,40.9281
compas_race,True,demographic_parity,Reweighing_tuned,32.4515,9.484099999999998
compas_race,True,demographic_parity,LFR_tuned,33.7366,5.614
compas_race,True,demographic_parity,DisparateImpactRemover_tuned,32.3975,24.5228
compas_race,True,demographic_parity,Fair-SMOTE_tuned,33.3802,9.4809
compas_race,True,demographic_parity,FairSSL-CT_tuned,33.5854,6.5154
